,PSNR
0,3.894500255584717
1,4.114319801330566
2,3.7024221420288086
3,3.7944893836975098
4,3.69429612159729
5,4.0030927658081055
6,3.713099718093872
7,4.131044387817383
8,3.992332696914673
9,3.6936004161834717
10,3.9780311584472656
11,3.78098726272583
12,3.882004499435425
13,3.759901523590088
14,3.881333589553833
15,3.9226226806640625
16,4.007255554199219
17,3.847578287124634
18,4.237524509429932
19,5.111674785614014
20,3.9534168243408203
21,3.685420274734497
22,3.76902174949646
23,4.749147415161133
24,3.8094286918640137
25,3.8242809772491455
26,4.041143417358398
27,5.180283069610596
28,4.046005725860596
29,5.145910739898682
30,3.977604627609253
31,3.984558582305908
32,3.6275765895843506
33,4.972019195556641
34,4.40383243560791
35,4.379793643951416
36,4.383691310882568
37,4.2319207191467285
38,4.426773548126221
39,4.38320255279541
40,4.352081298828125
41,4.552032947540283
42,4.658074378967285
43,4.6045918464660645
44,6.072935104370117
45,6.89157772064209
46,6.38590669631958
47,4.990474700927734
48,6.556948661804199
